[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:08] [INFO] No IPs currently blocked
[2025-05-25 11:57:12] [INFO] 🔍 Running all security scans...
[2025-05-25 11:57:12] [INFO] 
=== NETWORK SCAN ===
[2025-05-25 11:57:12] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-25 11:57:12] [INFO] IP Address: 192.168.1.9
[2025-05-25 11:57:12] [INFO] 
=== PROCESS SCAN ===
[2025-05-25 11:57:12] [INFO] {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
[2025-05-25 11:57:13] [INFO] {'pid': 14264, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 14532, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 14872, 'username': None, 'name': 'ksde.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 14972, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'kpm.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 16084, 'username': None, 'name': 'WmiPrvSE.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 16352, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 16592, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'NVIDIA Overlay.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 16696, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 17932, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 18772, 'username': None, 'name': 'dllhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 19548, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 20132, 'username': None, 'name': 'nvcontainer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 20476, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 20528, 'username': None, 'name': 'avp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 21156, 'username': None, 'name': 'avp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 21396, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 22136, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 22248, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 22276, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 22596, 'username': None, 'name': 'vmcompute.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 22712, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'Greenshot.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 23060, 'username': None, 'name': 'dasHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 23200, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'taskhostw.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 23204, 'username': None, 'name': 'dasHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 23452, 'username': None, 'name': 'wslservice.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 23532, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 23808, 'username': None, 'name': 'OfficeClickToRun.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 24284, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 24344, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'NVIDIA Overlay.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 25480, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'OSDTpDetect.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 25516, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 25736, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'RTSS.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 25892, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 26080, 'username': None, 'name': 'nvcontainer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 26616, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 27540, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'WhatsApp.exe'}
